product_name,author,price,other_conditions,url,page
ايفون 13 رامات 4 جيجابايت 128 جيجابايت أزرق,Orange Mobile,"27,150",90%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B2%D8%B1%D9%82-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016610,1
ايفون 13 رامات 4 جيجابايت 128 جيجابايت أزرق,Orange Mobile,"26,000",88%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B2%D8%B1%D9%82-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016609,1
ايفون 13 رامات 4 جيجابايت 128 جيجابايت أسود (Midnight),Orange Mobile,"22,900",79%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B3%D9%88%D8%AF-(midnight)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016605,1
ايفون 13 رامات 4 جيجابايت 128 جيجابايت اخضر,Goda phone,"28,250",90%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A7%D8%AE%D8%B6%D8%B1-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016597,1
ايفون 13 Pro Max رامات 6 جيجابايت 256 جيجابايت أزرق (Sierra ...,Nashwan Store,"37,500",77%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-pro-max-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-6-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B2%D8%B1%D9%82-(sierra-blue)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016569,1
ايفون 13 Pro Max رامات 6 جيجابايت 256 جيجابايت أزرق فاتح,Khalied Yahya,"36,750",79%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-pro-max-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-6-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B2%D8%B1%D9%82-%D9%81%D8%A7%D8%AA%D8%AD-%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84-su001271,1
ايفون 13 رامات 4 جيجابايت 128 جيجابايت أسود (Midnight),Harmony+,"22,250",75%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B3%D9%88%D8%AF-(midnight)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016528,1
ايفون 13 رامات 4 جيجابايت 128 جيجابايت وردى,Nashwan Store,"23,450",79%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D9%88%D8%B1%D8%AF%D9%89-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016506,1
ايفون 13 Pro Max رامات 6 جيجابايت 256 جيجابايت أزرق (Sierra ...,FM store,"38,750",76%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-pro-max-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-6-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B2%D8%B1%D9%82-(sierra-blue)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016487,1
ايفون 13 Pro Max رامات 6 جيجابايت 256 جيجابايت أزرق (Sierra ...,horizon,"38,500",79%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-pro-max-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-6-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B2%D8%B1%D9%82-(sierra-blue)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016447,1
