name,description,price,location,url,page
iphone 13,عرض خاص على iphone 13pro _ 256GB جديد متبرشم بضمان سنه محلي,"EGP 40,000","El Maadi, Maadi•",https://www.dubizzle.com.eg/en/ad/%D8%B9%D8%B1%D8%B6-%D8%AE%D8%A7%D8%B5-%D8%B9%D9%84%D9%89-iphone-13pro-_-256gb-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%85%D8%AA%D8%A8%D8%B1%D8%B4%D9%85-%D8%A8%D8%B6%D9%85%D8%A7%D9%86-%D8%B3%D9%86%D9%87-%D9%85%D8%AD%D9%84%D9%8A-ID205572523.html,1
iphone 13,للبيع iphone 13 _ 128GB جديد متبرشم,"EGP 22,300","Nasr City, Cairo•",https://www.dubizzle.com.eg/en/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-iphone-13-_-128gb-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%85%D8%AA%D8%A8%D8%B1%D8%B4%D9%85-ID203609139.html,1
iphone 13,iphone 13 128G used,"EGP 15,750","Nasr City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-128g-used-ID206196212.html,1
iphone 13,iphone 13 128G used,"EGP 24,000","Nasr City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-128g-used-ID206195817.html,1
iphone 13,iphone 13 pro max in perfect condition 256 gb,"EGP 39,500","Abasiya, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-in-perfect-condition-256-gb-ID206215443.html,1
iphone 13,iPhone 13 Pro الف جيجا مساحة,"EGP 26,900
Negotiable","2nd District, 6th of October•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-%D8%A7%D9%84%D9%81-%D8%AC%D9%8A%D8%AC%D8%A7-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-ID206135614.html,1
iphone 13,iphone 13 زيرو استخدام خفيف بطاريه ١٠٠٪؜ مساحه 128H,"EGP 28,000","Nasr City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-%D8%B2%D9%8A%D8%B1%D9%88-%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%AE%D9%81%D9%8A%D9%81-%D8%A8%D8%B7%D8%A7%D8%B1%D9%8A%D9%87-%D9%A1%D9%A0%D9%A0-%D9%85%D8%B3%D8%A7%D8%AD%D9%87-128h-ID206143978.html,1
iphone 13,iPhone 13 Pro Max for sale,"EGP 38,000
Negotiable","Maryotaya, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-for-sale-ID206162634.html,1
iphone 13,lphon 13/128. عرووووووضنا لسه مستمره اجهزه فقط بدون مشتملات,"EGP 16,700","Heliopolis, Cairo•",https://www.dubizzle.com.eg/en/ad/lphon-13128-%D8%B9%D8%B1%D9%88%D9%88%D9%88%D9%88%D9%88%D9%88%D8%B6%D9%86%D8%A7-%D9%84%D8%B3%D9%87-%D9%85%D8%B3%D8%AA%D9%85%D8%B1%D9%87-%D8%A7%D8%AC%D9%87%D8%B2%D9%87-%D9%81%D9%82%D8%B7-%D8%A8%D8%AF%D9%88%D9%86-%D9%85%D8%B4%D8%AA%D9%85%D9%84%D8%A7%D8%AA-ID201353417.html,1
iphone 13,iPhone 13 pro,"EGP 36,000","Darb al-Ahmar, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-ID206214983.html,1
